,SP500,US_10Y,Oil,Bitcoin
2021-10-07,4399.76,1.58,78.46,53844.74
2021-10-08,4391.34,1.61,79.55,53983.21
2021-10-11,4361.19,,80.64,57440.05
2021-10-12,4350.65,1.59,80.75,56019.29
2021-10-13,4363.8,1.56,80.67,57372.59
2021-10-14,4438.26,1.52,81.43,57327.09
2021-10-15,4471.37,1.59,82.39,61682.48
2021-10-18,4486.46,1.59,82.62,62036.95
2021-10-19,4519.63,1.65,83.19,64353.53
2021-10-20,4536.19,1.65,84.4,66005.17
2021-10-21,4549.78,1.68,82.64,62152.09
2021-10-22,4544.9,1.66,84.53,60671.75
2021-10-25,4566.48,1.64,84.64,63102.83
2021-10-26,4574.79,1.63,85.64,60341.21
2021-10-27,4551.68,1.54,82.66,58517.61
2021-10-28,4596.42,1.57,82.78,60577.62
2021-10-29,4605.38,1.55,83.5,62316.4
2021-11-01,4613.67,1.58,84.08,60950.0
2021-11-02,4630.65,1.56,83.91,63357.2
2021-11-03,4660.57,1.6,80.82,62944.4
2021-11-04,4680.06,1.53,78.88,61499.24
2021-11-05,4697.53,1.45,81.25,61000.01
2021-11-08,4701.7,1.51,81.96,67510.06
2021-11-09,4685.25,1.46,84.12,66967.98
2021-11-10,4646.71,1.56,81.23,64896.86
2021-11-11,4649.27,,81.47,64793.69
2021-11-12,4682.85,1.58,80.87,64158.51
2021-11-15,4682.8,1.63,80.85,63441.68
2021-11-16,4700.9,1.63,80.76,60147.32
2021-11-17,4688.67,1.6,78.32,60314.28
2021-11-18,4704.54,1.59,78.92,57017.38
2021-11-19,4697.96,1.54,76.11,58187.85
2021-11-22,4682.94,1.63,76.74,56254.57
2021-11-23,4690.7,1.67,78.32,57599.99
2021-11-24,4701.46,1.64,78.32,57255.24
2021-11-25,,,,59022.44
2021-11-26,4594.62,1.48,,53839.39
2021-11-29,4655.27,1.52,69.88,57828.33
2021-11-30,4567.0,1.43,66.14,56879.47
2021-12-01,4513.04,1.43,65.44,57228.47
2021-12-02,4577.1,1.44,66.6,56566.29
2021-12-03,4538.43,1.35,66.39,53681.96
2021-12-06,4591.67,1.43,69.62,50588.91
2021-12-07,4686.75,1.48,71.94,50676.09
2021-12-08,4701.21,1.52,72.43,50531.51
2021-12-09,4667.45,1.49,70.87,47639.07
2021-12-10,4712.02,1.48,71.71,47268.48
2021-12-13,4668.97,1.42,71.19,46639.86
2021-12-14,4634.09,1.44,70.57,48343.16
2021-12-15,4709.85,1.47,70.89,48885.97
2021-12-16,4668.67,1.44,72.34,47605.48
2021-12-17,4620.64,1.41,70.93,46240.15
2021-12-20,4568.02,1.43,68.69,46963.71
2021-12-21,4649.23,1.48,71.1,48954.47
2021-12-22,4696.56,1.46,72.82,48646.94
2021-12-23,4725.79,1.5,73.89,50840.46
2021-12-24,,,,50815.7
2021-12-27,4791.19,1.48,75.49,50663.26
2021-12-28,4786.35,1.49,76.01,47594.55
2021-12-29,4793.06,1.55,76.58,46518.8
2021-12-30,4778.73,1.52,76.83,47097.85
2021-12-31,4766.18,1.52,75.33,46244.63
2022-01-03,4796.56,1.63,75.99,46519.76
2022-01-04,4793.54,1.66,77.0,45889.4
2022-01-05,4700.58,1.71,77.83,43422.85
2022-01-06,4696.05,1.73,79.47,43133.33
2022-01-07,4677.03,1.76,79.0,41656.16
2022-01-10,4670.29,1.78,78.11,41872.47
2022-01-11,4713.07,1.75,81.17,42771.24
2022-01-12,4726.35,1.74,82.51,43884.25
2022-01-13,4659.03,1.7,81.97,42617.64
2022-01-14,4662.85,1.78,83.82,43158.68
2022-01-17,,,,42285.47
2022-01-18,4577.11,1.87,85.42,42411.61
2022-01-19,4532.76,1.83,86.84,41723.49
2022-01-20,4482.73,1.83,86.29,40696.22
2022-01-21,4397.94,1.75,85.16,36513.29
2022-01-24,4410.13,1.75,84.48,36643.49
2022-01-25,4356.45,1.78,86.61,36976.64
2022-01-26,4349.93,1.85,88.33,36838.9
2022-01-27,4326.51,1.81,87.61,37139.68
2022-01-28,4431.85,1.78,87.67,37677.8
2022-01-31,4515.55,1.79,89.16,38430.3
2022-02-01,4546.54,1.81,88.22,38745.11
2022-02-02,4589.38,1.78,88.16,36905.98
2022-02-03,4477.44,1.82,90.17,37238.31
2022-02-04,4500.53,1.93,92.27,41545.39
2022-02-07,4483.87,1.92,91.25,43897.96
2022-02-08,4521.54,1.96,89.32,44147.59
2022-02-09,4587.18,1.94,89.57,44402.94
2022-02-10,4504.08,2.03,89.83,43477.29
2022-02-11,4418.64,1.92,93.1,42391.54
2022-02-14,4401.67,1.98,95.52,42572.56
2022-02-15,4471.07,2.05,92.07,44469.73
2022-02-16,4475.01,2.03,93.83,43897.22
2022-02-17,4380.26,1.97,91.78,40553.82
2022-02-18,4348.87,1.92,91.26,39993.11
2022-02-21,,,,37075.4
2022-02-22,4304.76,1.94,92.11,38261.46
2022-02-23,4225.5,1.99,92.14,37225.0
2022-02-24,4288.7,1.96,92.77,38367.61
2022-02-25,4384.65,1.97,91.68,39212.8
2022-02-28,4373.94,1.83,96.13,43206.02
2022-03-01,4306.26,1.72,103.66,44412.2
2022-03-02,4386.54,1.86,110.74,43862.75
2022-03-03,4363.49,1.86,107.69,42432.0
2022-03-04,4328.87,1.74,115.77,39205.77
2022-03-07,4201.09,1.78,119.26,38004.69
2022-03-08,4170.7,1.86,123.64,38724.21
2022-03-09,4277.88,1.94,108.81,41985.86
2022-03-10,4259.52,1.98,105.93,39454.87
2022-03-11,4204.31,2.0,109.31,38670.76
2022-03-14,4173.11,2.14,103.22,39644.88
2022-03-15,4262.45,2.15,96.42,39361.36
2022-03-16,4357.86,2.19,94.85,41109.85
2022-03-17,4411.67,2.2,102.97,40964.07
2022-03-18,4463.12,2.14,104.69,41806.03
2022-03-21,4461.18,2.32,112.14,41009.98
2022-03-22,4511.61,2.38,111.03,42359.88
2022-03-23,4456.24,2.32,114.89,42940.28
2022-03-24,4520.16,2.34,114.2,43979.48
2022-03-25,4543.06,2.48,116.2,44355.11
2022-03-28,4575.52,2.46,107.55,47191.31
2022-03-29,4631.6,2.41,104.25,47430.74
2022-03-30,4602.45,2.35,107.81,47022.82
2022-03-31,4530.41,2.32,100.53,45475.83
2022-04-01,4545.86,2.39,99.32,46222.43
2022-04-04,4582.64,2.42,103.29,46568.89
2022-04-05,4525.12,2.54,101.98,45449.25
2022-04-06,4481.15,2.61,96.39,43206.04
2022-04-07,4500.21,2.66,96.05,43432.08
2022-04-08,4488.28,2.72,98.35,42281.5
2022-04-11,4412.53,2.79,94.22,39615.2
2022-04-12,4397.45,2.72,100.52,40105.2
2022-04-13,4446.59,2.7,104.26,41101.04
2022-04-14,4392.59,2.83,106.84,39910.05
2022-04-15,,,,40566.6
2022-04-18,4391.69,2.85,108.24,40817.48
2022-04-19,4462.21,2.93,102.54,41480.25
2022-04-20,4459.45,2.85,102.56,41350.25
2022-04-21,4393.66,2.9,103.89,40464.52
2022-04-22,4271.78,2.9,102.86,39708.2
2022-04-25,4296.12,2.81,99.6,40490.41
2022-04-26,4175.2,2.77,102.62,38102.78
2022-04-27,4183.96,2.82,101.96,39188.42
2022-04-28,4287.5,2.85,105.47,39737.71
2022-04-29,4131.93,2.89,104.59,38597.17
2022-05-02,4155.38,2.99,105.18,38488.36
2022-05-03,4175.48,2.97,102.53,37708.41
2022-05-04,4300.17,2.93,107.84,39671.83
2022-05-05,4146.87,3.05,108.17,36516.79
2022-05-06,4123.34,3.12,109.72,36013.22
2022-05-09,3991.24,3.05,103.08,30176.73
2022-05-10,4001.05,2.99,99.74,30961.83
2022-05-11,3935.18,2.91,105.5,29027.82
2022-05-12,3930.08,2.84,106.15,28959.93
2022-05-13,4023.89,2.93,110.52,29292.4
2022-05-16,4008.01,2.88,114.07,29854.67
2022-05-17,4088.85,2.98,112.31,30391.04
2022-05-18,3923.68,2.89,109.67,28762.93
2022-05-19,3900.79,2.84,112.21,30258.84
2022-05-20,3901.36,2.78,112.63,29138.15
2022-05-23,3973.75,2.86,110.32,29095.68
2022-05-24,3941.48,2.76,112.55,29605.66
2022-05-25,3978.73,2.75,112.88,29487.83
2022-05-26,4057.84,2.75,116.19,29160.96
2022-05-27,4158.24,2.74,114.96,28608.55
2022-05-30,,,,31691.54
2022-05-31,4132.15,2.85,114.38,31804.27
2022-06-01,4101.23,2.94,115.26,29779.16
2022-06-02,4176.82,2.92,116.88,30428.98
2022-06-03,4108.54,2.96,118.97,29684.67
2022-06-06,4121.43,3.04,118.41,31324.88
2022-06-07,4160.68,2.98,119.55,31073.76
2022-06-08,4115.77,3.03,121.94,30195.33
2022-06-09,4017.82,3.04,121.52,30070.71
2022-06-10,3900.86,3.15,120.73,29061.88
2022-06-13,3749.63,3.43,120.92,22333.0
2022-06-14,3735.48,3.49,118.92,22122.57
2022-06-15,3789.99,3.33,115.32,22544.07
2022-06-16,3666.77,3.28,117.56,20336.62
2022-06-17,3674.84,3.25,109.56,20421.22
2022-06-20,,,,20534.33
2022-06-21,3764.79,3.31,110.49,20675.12
2022-06-22,3759.89,3.16,106.22,19997.23
2022-06-23,3795.73,3.09,105.75,21121.55
2022-06-24,3911.74,3.13,109.07,21206.32
2022-06-27,3900.11,3.2,111.44,20718.74
2022-06-28,3821.55,3.2,113.66,20251.34
2022-06-29,3818.83,3.1,111.65,20094.43
2022-06-30,3785.38,2.98,107.76,19837.58
2022-07-01,3825.33,2.88,110.3,19270.3
2022-07-04,,,,20205.89
2022-07-05,3831.39,2.82,101.55,20171.1
2022-07-06,3845.08,2.93,100.31,20556.8
2022-07-07,3902.62,3.01,104.62,21657.39
2022-07-08,3899.38,3.09,106.78,21582.54
2022-07-11,3854.43,2.99,106.09,19942.91
2022-07-12,3818.8,2.96,97.69,19302.71
2022-07-13,3801.78,2.91,98.44,20206.62
2022-07-14,3790.38,2.96,97.79,20583.48
2022-07-15,3863.16,2.93,99.59,20838.39
2022-07-18,3830.85,2.96,104.48,22368.75
2022-07-19,3936.69,3.01,106.12,23410.92
2022-07-20,3959.9,3.04,104.45,23237.11
2022-07-21,3998.95,2.91,98.44,23140.92
2022-07-22,3961.63,2.77,97.71,22706.35
2022-07-25,3966.84,2.81,99.83,21248.31
2022-07-26,3921.05,2.81,97.74,21277.3
2022-07-27,4023.61,2.78,100.03,22986.74
2022-07-28,4072.43,2.68,99.11,23875.62
2022-07-29,4130.29,2.67,101.31,23817.5
2022-08-01,4118.63,2.6,96.59,23250.19
2022-08-02,4091.19,2.75,97.14,23005.22
2022-08-03,4155.17,2.73,93.25,22820.48
2022-08-04,4151.94,2.68,91.29,22604.63
2022-08-05,4145.19,2.83,91.77,23285.14
2022-08-08,4140.06,2.77,93.52,23824.9
2022-08-09,4122.47,2.8,93.18,23138.91
2022-08-10,4210.24,2.78,94.68,23982.75
2022-08-11,4207.27,2.87,97.02,23956.28
2022-08-12,4280.15,2.84,94.86,24398.29
2022-08-15,4297.14,2.79,92.24,24092.27
2022-08-16,4305.2,2.82,89.23,23861.8
2022-08-17,4274.04,2.89,90.85,23357.89
2022-08-18,4283.74,2.88,93.2,23175.9
2022-08-19,4228.48,2.98,93.55,20850.04
2022-08-22,4137.99,3.03,93.42,21403.82
2022-08-23,4128.73,3.05,96.46,21529.34
2022-08-24,4140.77,3.11,95.52,21358.67
2022-08-25,4199.12,3.03,93.33,21518.35
2022-08-26,4057.66,3.04,93.63,20230.18
2022-08-29,4030.61,3.12,97.4,20291.07
2022-08-30,3986.16,3.11,92.08,19835.7
2022-08-31,3955.0,3.15,90.09,20025.48
2022-09-01,3966.85,3.26,87.09,20112.51
2022-09-02,3924.26,3.2,87.29,19946.87
2022-09-05,,,,19807.74
2022-09-06,3908.19,3.33,87.35,18777.0
2022-09-07,3979.87,3.27,82.5,19286.23
2022-09-08,4006.18,3.29,84.04,19320.01
2022-09-09,4067.36,3.33,87.27,21355.55
2022-09-12,4110.41,3.37,88.18,22412.6
2022-09-13,3932.69,3.42,87.84,20164.09
2022-09-14,3946.01,3.41,88.88,20216.63
2022-09-15,3901.35,3.45,85.72,19690.75
2022-09-16,3873.33,3.45,85.57,19784.17
2022-09-19,3899.89,3.49,86.15,19553.1
2022-09-20,3855.93,3.57,84.69,18869.22
2022-09-21,3789.93,3.51,83.38,18488.54
2022-09-22,3757.99,3.7,84.02,19402.35
2022-09-23,3693.23,3.69,79.07,19304.43
2022-09-26,3655.04,3.88,77.17,19224.81
2022-09-27,3647.29,3.97,78.91,19072.97
2022-09-28,3719.04,3.72,82.61,19407.62
2022-09-29,3640.47,3.76,81.78,19610.61
2022-09-30,3585.62,3.83,79.91,19415.8
2022-10-03,3678.43,3.67,84.05,19640.84
2022-10-04,3790.93,3.62,86.87,20344.37
2022-10-05,3783.28,3.76,88.22,20152.33
2022-10-06,3744.52,3.83,88.9,19962.19
2022-10-07,3639.66,3.89,93.07,19524.22
2022-10-10,3612.39,,91.6,19104.67
2022-10-11,3588.84,3.93,89.75,19069.69
2022-10-12,3577.03,3.91,87.83,19157.32
2022-10-13,3669.91,3.97,89.59,19382.53
2022-10-14,3583.07,4.0,86.1,19187.64
2022-10-17,3677.95,4.02,86.0,19565.96
2022-10-18,3719.98,4.01,83.29,19334.77
2022-10-19,3695.16,4.14,86.0,19122.17
2022-10-20,3665.78,4.24,86.02,19046.77
2022-10-21,3752.75,4.21,85.47,19172.57
2022-10-24,3797.34,4.25,86.12,19332.45
2022-10-25,3859.11,4.1,86.93,20113.74
2022-10-26,3830.6,4.04,89.39,20760.56
2022-10-27,3807.3,3.96,89.06,20287.17
2022-10-28,3901.06,4.02,87.85,20594.01
2022-10-31,3871.98,4.1,86.54,20472.79
2022-11-01,3856.1,4.07,88.36,20479.49
2022-11-02,3759.69,4.1,90.06,20148.56
2022-11-03,3719.89,4.14,88.14,20205.32
2022-11-04,3770.55,4.17,92.58,21157.96
2022-11-07,3806.8,4.22,91.8,20578.77
2022-11-08,3828.11,4.14,88.8,18561.6
2022-11-09,3748.57,4.12,85.79,15850.62
2022-11-10,3956.37,3.82,86.52,17573.15
2022-11-11,3992.93,,89.14,16997.14
2022-11-14,3957.25,3.88,85.85,16576.49
2022-11-15,3991.73,3.8,86.87,16869.14
2022-11-16,3958.79,3.67,85.62,16660.48
2022-11-17,3946.56,3.77,81.69,16677.36
2022-11-18,3965.34,3.82,80.07,16673.07
2022-11-21,3949.94,3.83,79.74,15755.75
2022-11-22,4003.58,3.76,80.83,16206.32
2022-11-23,4027.26,3.71,77.93,16597.46
2022-11-24,,,,16579.3
2022-11-25,4026.12,3.68,76.45,16508.49
2022-11-28,3963.94,3.69,77.1,16193.89
2022-11-29,3957.63,3.75,77.96,16441.63
2022-11-30,4080.11,3.68,80.48,17179.78
2022-12-01,4076.57,3.53,81.06,16980.55
2022-12-02,4071.7,3.51,79.86,17099.27
2022-12-05,3998.84,3.6,76.83,16970.79
2022-12-06,3941.26,3.51,74.21,17089.95
2022-12-07,3933.92,3.42,71.93,16844.05
2022-12-08,3963.51,3.48,71.3,17228.23
2022-12-09,3934.38,3.57,71.05,17129.01
2022-12-12,3990.56,3.61,72.96,17209.62
2022-12-13,4019.65,3.51,75.44,17763.65
2022-12-14,3995.32,3.49,77.14,17815.79
2022-12-15,3895.75,3.44,75.89,17358.0
2022-12-16,3852.36,3.48,74.19,16627.33
2022-12-19,3817.66,3.57,75.05,16453.07
2022-12-20,3821.62,3.69,75.92,16893.02
2022-12-21,3878.44,3.68,78.17,16821.03
2022-12-22,3822.39,3.67,77.68,16819.21
2022-12-23,3844.82,3.75,79.57,16776.77
2022-12-26,,,,16940.82
2022-12-27,3829.25,3.84,79.45,16693.38
2022-12-28,3783.22,3.88,78.89,16539.02
2022-12-29,3849.28,3.83,78.43,16626.11
2022-12-30,3839.5,3.88,80.16,16606.43
2023-01-02,,,,16660.83
2023-01-03,3824.14,3.79,76.87,16670.38
2023-01-04,3852.97,3.69,72.82,16850.4
2023-01-05,3808.1,3.71,73.61,16824.98
2023-01-06,3895.08,3.55,73.77,16950.6
2023-01-09,3892.09,3.53,74.69,17181.15
2023-01-10,3919.25,3.61,75.11,17444.75
2023-01-11,3969.61,3.54,77.46,17942.22
2023-01-12,3983.17,3.43,78.32,18863.74
2023-01-13,3999.09,3.49,79.9,19909.21
2023-01-16,,,,21186.93
2023-01-17,3990.97,3.53,80.25,21153.37
2023-01-18,3928.86,3.37,79.53,20710.89
2023-01-19,3898.85,3.39,80.31,21088.14
2023-01-20,3972.61,3.48,81.27,22686.85
2023-01-23,4019.81,3.52,81.62,22915.32
2023-01-24,4016.95,3.46,79.86,22612.34
2023-01-25,4016.22,3.46,79.78,23072.42
2023-01-26,4060.43,3.49,80.64,23028.35
2023-01-27,4070.56,3.52,79.73,23072.62
2023-01-30,4017.77,3.55,77.97,22832.32
2023-01-31,4076.6,3.52,78.95,23134.74
2023-02-01,4119.21,3.39,76.34,23740.02
2023-02-02,4179.76,3.4,75.87,23548.98
2023-02-03,4136.48,3.53,73.4,23426.4
2023-02-06,4111.08,3.63,74.11,22751.79
2023-02-07,4164.0,3.67,77.17,23260.42
2023-02-08,4117.86,3.63,78.47,22973.38
2023-02-09,4081.5,3.67,78.04,21804.16
2023-02-10,4090.46,3.74,79.74,21629.58
2023-02-13,4137.29,3.72,80.14,21786.33
2023-02-14,4136.13,3.77,79.08,22193.69
2023-02-15,4147.6,3.81,78.57,24340.76
2023-02-16,4090.41,3.86,78.45,23468.21
2023-02-17,4079.09,3.82,76.31,24562.04
2023-02-20,,,,24835.63
2023-02-21,3997.34,3.95,76.28,24447.91
2023-02-22,3991.05,3.93,73.95,24187.63
2023-02-23,4012.32,3.88,75.26,23938.48
2023-02-24,3970.04,3.95,76.19,23181.45
2023-02-27,3982.24,3.92,75.57,23479.61
2023-02-28,3970.15,3.92,76.88,23146.93
2023-03-01,3951.39,4.01,77.57,23634.46
2023-03-02,3981.35,4.08,78.05,23469.09
2023-03-03,4045.64,3.97,79.62,22343.55
2023-03-06,4048.42,3.98,80.39,22419.33
2023-03-07,3986.37,3.97,77.45,22198.95
2023-03-08,3992.01,3.98,76.56,21712.64
2023-03-09,3918.32,3.93,75.6,20364.09
2023-03-10,3861.59,3.7,76.55,20227.02
2023-03-13,3855.76,3.55,74.68,24239.87
2023-03-14,3919.29,3.64,71.18,24786.83
2023-03-15,3891.93,3.51,67.38,24350.57
2023-03-16,3960.28,3.56,68.15,25040.11
2023-03-17,3916.64,3.39,66.61,27442.51
2023-03-20,3951.57,3.47,67.56,27818.07
2023-03-21,4002.87,3.59,69.4,28195.56
2023-03-22,3936.97,3.48,70.71,27324.09
2023-03-23,3948.72,3.38,69.77,28361.31
2023-03-24,3970.99,3.38,69.22,27488.93
2023-03-27,3977.53,3.53,72.87,27139.64
2023-03-28,3971.27,3.55,73.12,27273.12
2023-03-29,4027.81,3.57,72.95,28366.67
2023-03-30,4050.83,3.55,74.32,28036.88
2023-03-31,4109.31,3.48,75.68,28492.72
2023-04-03,4124.51,3.43,80.4,27807.81
2023-04-04,4100.6,3.35,80.7,28172.02
2023-04-05,4090.38,3.3,80.69,28187.68
2023-04-06,4105.02,3.3,80.7,28053.47
2023-04-07,,3.39,,27927.15
2023-04-10,4109.11,3.41,79.79,29678.68
2023-04-11,4108.94,3.43,81.54,30243.93
2023-04-12,4091.95,3.41,83.26,29913.06
2023-04-13,4146.22,3.45,82.16,30412.73
2023-04-14,4137.64,3.52,82.58,30493.72
2023-04-17,4151.32,3.6,80.93,29449.98
2023-04-18,4154.87,3.58,80.85,30382.37
2023-04-19,4154.52,3.6,79.18,28814.51
2023-04-20,4129.79,3.54,77.27,28235.24
2023-04-21,4133.52,3.57,77.86,27259.0
2023-04-24,4137.04,3.52,78.64,27518.81
2023-04-25,4071.63,3.4,77.05,28321.6
2023-04-26,4055.99,3.43,74.33,28406.04
2023-04-27,4135.35,3.53,74.77,29502.8
2023-04-28,4169.48,3.44,76.78,29344.36
2023-05-01,4167.87,3.59,75.65,28056.44
2023-05-02,4119.58,3.44,71.71,28682.78
2023-05-03,4090.75,3.38,68.62,29047.44
2023-05-04,4061.22,3.37,68.52,28861.56
2023-05-05,4136.25,3.44,71.32,29514.95
2023-05-08,4138.12,3.52,73.13,27682.7
2023-05-09,4119.17,3.53,73.68,27647.15
2023-05-10,4137.64,3.43,72.53,27620.2
2023-05-11,4130.62,3.39,70.81,27007.95
2023-05-12,4124.08,3.46,70.02,26811.54
2023-05-15,4136.28,3.5,71.07,27178.3
2023-05-16,4109.9,3.54,70.85,27041.08
2023-05-17,4158.77,3.57,72.78,27417.13
2023-05-18,4198.05,3.65,71.82,26829.49
2023-05-19,4191.98,3.7,71.57,26877.99
2023-05-22,4192.63,3.72,71.81,26854.54
2023-05-23,4145.58,3.7,72.87,27223.75
2023-05-24,4115.24,3.73,74.37,26321.63
2023-05-25,4151.28,3.83,71.68,26488.5
2023-05-26,4205.45,3.8,72.35,26728.06
2023-05-29,,,,27755.32
2023-05-30,4205.52,3.69,69.45,27696.65
2023-05-31,4179.83,3.64,68.11,27222.9
2023-06-01,4221.02,3.61,70.09,26837.1
2023-06-02,4282.37,3.69,71.76,27250.49
2023-06-05,4273.79,3.69,72.14,25751.24
2023-06-06,4283.85,3.7,71.71,27245.8
2023-06-07,4267.52,3.79,72.52,26347.69
2023-06-08,4293.93,3.73,71.28,26504.81
2023-06-09,4298.86,3.75,70.16,26483.2
2023-06-12,4338.93,3.73,67.08,25906.91
2023-06-13,4369.01,3.84,69.39,25933.04
2023-06-14,4372.59,3.83,68.22,25103.81
2023-06-15,4425.84,3.72,70.61,25542.36
2023-06-16,4409.59,3.77,71.81,26341.33
2023-06-19,,,,26822.19
2023-06-20,4388.71,3.74,70.94,28315.01
2023-06-21,4365.69,3.72,72.55,29998.22
2023-06-22,4381.89,3.8,69.22,29885.29
2023-06-23,4348.33,3.74,68.91,30692.18
2023-06-26,4328.82,3.72,69.09,30279.98
2023-06-27,4378.41,3.77,67.68,30702.1
2023-06-28,4376.86,3.71,69.54,30102.6
2023-06-29,4396.44,3.85,69.85,30441.4
2023-06-30,4450.38,3.81,70.66,30475.82
2023-07-03,4455.59,3.86,69.71,31163.19
2023-07-04,,,,30766.91
2023-07-05,4446.82,3.95,71.78,30492.71
2023-07-06,4411.59,4.05,71.76,29910.89
2023-07-07,4398.95,4.06,73.91,30337.33
2023-07-10,4409.53,4.01,73.05,30427.52
2023-07-11,4439.26,3.99,74.87,30636.22
2023-07-12,4472.16,3.86,75.77,30379.01
2023-07-13,4510.04,3.76,76.86,31471.53
2023-07-14,4505.42,3.83,75.44,30312.82
2023-07-17,4522.79,3.81,74.17,30150.4
2023-07-18,4554.98,3.8,75.76,29860.85
2023-07-19,4565.72,3.75,75.4,29918.57
2023-07-20,4534.87,3.85,75.65,29807.9
2023-07-21,4536.34,3.84,77.06,29907.14
2023-07-24,4554.64,3.86,78.81,29171.26
2023-07-25,4567.46,3.91,79.76,29221.74
2023-07-26,4566.75,3.86,79.11,29351.49
2023-07-27,4537.41,4.01,80.17,29213.16
2023-07-28,4582.23,3.96,80.55,29311.22
2023-07-31,4588.96,3.97,81.8,29223.31
2023-08-01,4576.73,4.05,81.37,29728.88
2023-08-02,4513.39,4.08,79.5,29155.83
2023-08-03,4501.89,4.2,81.56,29168.14
2023-08-04,4478.03,4.05,82.76,29073.7
2023-08-07,4518.44,4.09,81.94,29179.01
2023-08-08,4499.38,4.02,82.94,29774.42
2023-08-09,4467.71,4.0,84.35,29561.54
2023-08-10,4468.83,4.09,82.81,29418.09
2023-08-11,4464.05,4.16,83.17,29400.05
2023-08-14,4489.72,4.19,82.5,29397.35
2023-08-15,4437.86,4.21,81.06,29165.96
2023-08-16,4404.33,4.28,79.4,28694.33
2023-08-17,4370.36,4.3,80.43,26600.98
2023-08-18,4369.71,4.26,81.25,26043.99
2023-08-21,4399.77,4.34,80.71,26128.18
2023-08-22,4387.55,4.34,80.25,26038.42
2023-08-23,4436.01,4.19,78.91,26429.54
2023-08-24,4376.31,4.23,79.52,26168.12
2023-08-25,4405.71,4.25,80.47,26054.38
2023-08-28,4433.31,4.2,80.65,26102.51
2023-08-29,4497.63,4.12,81.14,27713.68
2023-08-30,4514.87,4.12,81.64,27297.11
2023-08-31,4507.66,4.09,83.55,25922.51
2023-09-01,4515.77,4.18,85.52,25802.02
2023-09-04,,,,25814.79
2023-09-05,4496.83,4.27,86.74,25778.03
2023-09-06,4465.48,4.3,87.55,25748.1
2023-09-07,4451.14,4.27,86.87,26267.36
2023-09-08,4457.49,4.26,87.51,25906.35
2023-09-11,4487.46,4.29,87.3,25161.68
2023-09-12,4461.9,4.27,88.87,25852.36
2023-09-13,4467.44,4.25,88.59,26216.13
2023-09-14,4505.1,4.29,90.13,26531.31
2023-09-15,4450.32,4.33,90.83,26620.02
2023-09-18,4453.53,4.32,91.47,26767.54
2023-09-19,4443.95,4.37,91.16,27199.35
2023-09-20,4402.2,4.35,89.2,27119.41
2023-09-21,4330.0,4.49,89.56,26567.29
2023-09-22,4320.06,4.44,90.0,26582.63
2023-09-25,4337.44,4.55,89.68,26296.86
2023-09-26,4273.53,4.56,91.43,26200.13
2023-09-27,4274.51,4.61,93.67,26351.82
2023-09-28,4299.7,4.59,91.65,27035.82
2023-09-29,4288.05,4.59,90.77,26900.3
2023-10-02,4288.39,4.69,88.81,27517.12
2023-10-03,4229.45,4.81,89.26,27421.92
2023-10-04,4263.75,4.73,84.32,27782.29
2023-10-05,4258.19,4.72,82.3,27419.39
2023-10-06,4308.5,4.78,82.83,27949.12
2023-10-09,4335.66,,,27587.43
2023-10-10,4358.24,4.66,85.89,27391.73
2023-10-11,4376.95,4.58,83.7,26851.85
2023-10-12,4349.61,4.7,82.87,26745.5
2023-10-13,4327.78,4.63,87.67,26859.1
2023-10-16,4373.63,4.71,86.65,28534.29
2023-10-17,4373.2,4.83,86.66,28408.19
2023-10-18,4314.6,4.91,88.35,28309.35
2023-10-19,4278.0,4.98,89.35,28734.51
2023-10-20,4224.16,4.93,89.12,29686.66
2023-10-23,4217.04,4.86,85.49,33106.86
2023-10-24,4247.68,4.83,84.58,33919.92
2023-10-25,4186.77,4.95,86.07,34489.91
2023-10-26,4137.23,4.86,83.8,34140.0
2023-10-27,4117.37,4.84,86.04,33905.16
2023-10-30,4166.82,4.88,83.03,34485.49
2023-10-31,4193.8,4.88,81.64,34667.88
2023-11-01,4237.86,4.77,81.05,35469.43
2023-11-02,4317.78,4.67,83.04,34935.25
2023-11-03,4358.34,4.57,81.19,34735.91
2023-11-06,4365.98,4.67,81.54,35063.96
2023-11-07,4378.38,4.58,77.96,35420.95
2023-11-08,4382.78,4.49,75.85,35581.68
2023-11-09,4347.35,4.62,76.34,36669.3
2023-11-10,4415.24,4.61,,37305.81
2023-11-13,4411.55,4.63,78.86,36470.45
2023-11-14,4495.7,4.44,78.9,35552.8
2023-11-15,4502.88,4.53,77.15,37876.32
2023-11-16,4508.24,4.45,73.5,36150.03
2023-11-17,4514.02,4.44,76.47,36626.6
2023-11-20,4547.38,4.42,78.1,37476.08
2023-11-21,4538.19,4.41,78.35,35734.18
2023-11-22,4556.62,4.42,76.8,37443.86
2023-11-23,,,,37298.0
2023-11-24,4559.34,4.47,74.83,37745.94
2023-11-27,4550.43,4.39,74.46,37244.39
2023-11-28,4554.89,4.34,76.09,37840.46
2023-11-29,4550.58,4.27,77.56,37864.76
2023-11-30,4567.8,4.37,75.66,37743.0
2023-12-01,4594.63,4.22,73.7,38714.0
2023-12-04,4569.78,4.28,72.73,41856.31
2023-12-05,4567.18,4.18,71.95,44060.06
2023-12-06,4549.34,4.12,68.98,43778.51
2023-12-07,4585.59,4.14,69.0,43305.91
2023-12-08,4604.37,4.23,70.87,44223.94
